year;id;study;t1;t2;effect;se
1969;196;196;CPZ;PBO;-0.284407496;0.367267311
1970;39;39;CPZ;PBO;-0.872683167;0.398351282
1970;40;40;CPZ;PBO;-0.564948261;0.350650668
1971;41;41;CPZ;PBO;-0.514099717;0.330810308
1972;42;42;CPZ;PBO;-0.180204242;0.349116415
1972;168;168;CPZ;HAL;-0.293561667;0.405442566
1972;168;168;CPZ;PBO;-1.12;0.44592008
1972;168;168;HAL;PBO;-1.04;0.414577186
1974;70;70;CLO;HAL;0.064834192;0.44735989
1974;115;115;CLO;CPZ;-0.925859809;0.298840135
1974;171;171;CLO;CPZ;-0.552858889;0.331285596
1976;167;167;HAL;PBO;-0.554155409;0.285874575
1977;43;43;CPZ;PBO;-0.634578645;0.486356497
1977;89;89;CLO;HAL;-0.248038843;0.214552537
1981;59;59;CLO;HAL;-0.85;0.33
1983;14;14;HAL;PBO;-1.19;0.3
1984;82;82;CLO;CPZ;-1.01;0.42
1984;82;82;CLO;PBO;-1.64;0.52
1984;82;82;CPZ;PBO;-0.66;0.47
1984;83;83;CLO;HAL;-0.76;0.23
1985;106;106;AMI;HAL;0.12;0.46
1989;19;19;HAL;PBO;-0.12;0.67
1989;61;61;ZOT;HAL;0.66;0.33
1989;208;208;AMI;HAL;-0.3;0.32
1990;34;34;CPZ;PBO;-0.25;0.32
1990;55;55;AMI;HAL;-0.53;0.34
1990;107;107;CLO;HAL;-0.88;0.38
1991;20;20;CPZ;PBO;-0.7;0.48
1991;108;108;ZOT;HAL;0.14;0.39
1992;21;21;HAL;PBO;-0.51;0.2
1992;21;21;RIS;HAL;-0.16;0.19
1992;21;21;RIS;PBO;-0.66;0.2
1992;44;44;RIS;HAL;-0.41;0.31
1993;30;30;RIS;HAL;0.45;0.26
1993;35;35;HAL;PBO;-0.59;0.31
1993;35;35;RIS;HAL;-0.56;0.31
1993;35;35;RIS;PBO;-1.22;0.33
1993;132;132;RIS;HAL;0.45;0.34
1993;138;138;RIS;HAL;0.07;0.14
1994;79;79;CLO;RIS;-0.18;0.27
1994;109;109;CLO;HAL;-0.06;0.34
1994;123;123;HAL;PBO;-0.35;0.18
1994;123;123;RIS;HAL;-0.62;0.18
1994;123;123;RIS;PBO;-0.93;0.19
1995;148;148;RIS;HAL;-0.14;0.08
1995;206;206;SER;HAL;0.27;0.13
1995;206;206;SER;PBO;-0.28;0.14
1995;206;206;HAL;PBO;-0.52;0.14
1996.25;250;250;HAL;PBO;-0.63;0.18
1996.2;11;11;OLA;HAL;-0.07;0.15
1996.25;251;251;OLA;PBO;-0.65;0.16
1996.3;12;12;OLA;PBO;-0.71;0.21
1996.2;18;18;RIS;HAL;-0.65;0.32
1996.4;22;22;QUE;PBO;-0.36;0.2
1996.5;147;147;ZOT;HAL;-0.22;0.18
1996.5;191;191;RIS;PBO;-0.37;0.14
1996.3;199;199;SER;PBO;-0.26;0.18
1997;4;4;HAL;PBO;-0.62;0.2
1997;4;4;QUE;HAL;0.04;0.17
1997;4;4;QUE;PBO;-0.59;0.17
1997;13;13;OLA;HAL;-0.18;0.14
1997;91;91;HAL;PBO;-0.88;0.48
1997;131;131;CLO;ZOT;-0.08;0.28
1997;134;134;AMI;HAL;-0.2;0.15
1997;149;149;QUE;CPZ;-0.05;0.14
1997;172;172;QUE;PBO;-0.49;0.15
1997;197;197;OLA;HAL;-0.2;0.05
1997;209;209;SER;HAL;0.08;0.12
1997;209;209;SER;PBO;-0.5;0.15
1997;209;209;HAL;PBO;-0.61;0.15
1998;3;3;OLA;HAL;-0.08;0.42
1998;72;72;ZIP;HAL;-0.02;0.33
1998;103;103;ZIP;PBO;-0.47;0.22
1998;156;156;AMI;HAL;-0.4;0.16
1999;52;52;ZIP;PBO;-0.51;0.15
1999;58;58;RIS;HAL;-0.06;0.15
1999;85;85;CLO;CPZ;-0.15;0.37
1999;150;150;AMI;RIS;-0.17;0.13
2000;27;27;AMI;HAL;-0.32;0.14
2000;46;46;CPZ;PBO;0.06;0.2
2000;46;46;ZOT;CPZ;-0.76;0.2
2000;46;46;ZOT;PBO;-0.77;0.2
2000;47;47;ZOT;PBO;-0.34;0.18
2000;48;48;QUE;HAL;0.14;0.1
2000;76;76;SER;HAL;0.03;0.11
2000;121;121;RIS;HAL;0.37;0.33
2001;15;15;OLA;HAL;0.23;0.39
2001;45;45;OLA;RIS;-0.01;0.11
2001;86;86;ZOT;HAL;0.25;0.24
2001;88;88;OLA;HAL;-0.2;0.16
2001;90;90;RIS;HAL;-0.09;0.25
2001;139;139;QUE;HAL;0.01;0.15
2001;157;157;QUE;HAL;-0.22;0.65
2002;98;98;ARI;HAL;0.01;0.12
2002;98;98;ARI;PBO;-0.43;0.12
2002;98;98;HAL;PBO;-0.46;0.14
2002;166;166;AMI;RIS;-0.01;0.11
2003;54;54;OLA;HAL;0.16;0.45
2003;87;87;AMI;RIS;0.23;0.29
2003;102;102;ARI;HAL;-0.03;0.06
2003;116;116;OLA;HAL;-0.31;0.13
2003;117;117;CLO;CPZ;-0.15;0.16
2003;119;119;CLO;ZOT;-0.76;0.27
2003;153;153;ARI;PBO;-0.44;0.12
2003;153;153;ARI;RIS;0.07;0.13
2003;153;153;RIS;PBO;-0.49;0.14
2003;163;163;OLA;HAL;0.06;0.13
2003;192;192;OLA;QUE;-0.1;0.31
2003;193;193;OLA;RIS;-0.01;0.31
2004;49;49;OLA;PBO;-0.96;0.16
