id;t1;n1;r1;rob;t2;n2;r2
8;agom;252;177;1;fluo;263;164
10;agom;167;106;1;paro;168;120
11;agom;137;113;1;venl;140;111
12;agom;213;127;1;paro;199;118
13;agom;314;205;1;fluo;314;209
14;agom;71;44;1;esci;67;36
15;agom;202;131;1;dulo;216;153
16;agom;164;134;1;esci;160;128
19;agom;165;126;2;venl;167;115
52;bupr;61;37;2;fluo;62;35
53;bupr;63;33;2;traz;61;21
59;bupr;7;3;2;sert;9;4
61;bupr;171;86;2;venl;177;82
75;bupr;69;35;2;paro;71;36
78;bupr;122;82;1;sert;126;85
82;cita;57;23;1;clom;57;31
83;amit;20;13;2;cita;24;15
84;cita;108;33;1;fluv;109;31
85;cita;173;120;1;fluo;184;123
86;cita;158;102;2;fluo;158;109
87;amit;186;96;2;cita;179;98
92;cita;55;33;2;rebo;46;28
93;cita;25;9;2;sert;26;6
114;dulo;166;85;1;venl;166;91
116;dulo;164;79;2;venl;340;170
118;dulo;238;144;2;paro;240;157
126;dulo;140;86;2;paro;141;74
131;esci;102;61;2;fluo;103;63
133;esci;101;59;1;venl;101;47
134;esci;148;113;1;venl;145;113
136;esci;107;75;1;sert;108;74
137;cita;74;64;2;esci;69;62
137;cita;74;64;2;sert;71;69
137;esci;69;62;2;sert;71;69
140;cita;182;96;1;esci;175;104
141;cita;152;87;1;esci;142;105
143;esci;166;112;1;paro;159;111
144;dulo;151;81;1;esci;144;94
145;dulo;138;52;2;esci;140;61
146;esci;232;144;1;paro;227;128
147;cita;28;19;1;esci;28;22
148;cita;110;90;1;esci;109;103
149;esci;123;94;1;fluo;117;89
150;cita;23;19;2;esci;25;21
151;cita;32;31;1;esci;32;30
152;cita;120;87;1;esci;120;83
153;cita;24;19;2;esci;24;20
157;cita;22;17;2;esci;20;16
169;amit;28;15;1;fluo;25;8
171;amit;21;11;2;fluo;21;12
175;amit;33;18;2;fluo;32;16
176;fluo;22;9;2;traz;21;9
178;amit;65;57;2;fluo;63;55
180;fluo;14;8;2;traz;13;4
181;amit;20;7;2;fluo;20;8
182;clom;15;11;2;fluo;15;12
183;clom;26;18;2;fluo;28;22
184;clom;72;31;2;fluo;71;42
185;fluo;21;10;2;traz;17;13
186;amit;18;6;2;fluo;16;6
187;clom;60;32;2;fluo;60;37
188;amit;22;16;1;fluo;20;12
189;amit;31;8;2;fluo;30;12
190;fluo;65;33;2;traz;61;34
191;amit;28;12;2;fluo;30;15
196;amit;31;18;2;fluo;35;22
197;amit;75;59;1;fluo;67;45
198;amit;21;6;2;fluo;21;7
199;amit;80;58;1;fluo;77;57
202;fluo;92;57;2;paro;96;64
202;fluo;92;57;2;sert;96;70
202;paro;96;64;2;sert;96;70
210;clom;21;17;1;fluv;22;16
221;amit;17;5;2;fluv;16;9
222;fluv;49;27;2;sert;48;23
223;clom;20;16;1;fluv;20;13
224;fluo;49;29;1;fluv;51;30
227;fluv;30;17;2;paro;30;16
228;amit;122;54;1;fluv;113;51
229;fluo;94;54;2;fluv;90;53
230;fluv;40;29;1;sert;48;28
231;fluv;48;28;3;miln;47;26
232;amit;34;21;2;fluv;35;13
239;amit;49;35;2;miln;95;53
240;amit;43;22;1;miln;44;28
241;fluv;41;22;2;miln;85;56
242;fluo;93;43;1;miln;97;32
243;clom;55;32;1;miln;52;32
244;fluo;100;51;1;miln;200;109
245;fluv;56;32;2;miln;57;40
246;miln;27;4;2;sert;26;2
247;miln;149;86;2;paro;153;91
248;miln;604;338;1;paro;301;171
258;mirt;100;61;2;traz;100;51
259;amit;59;41;1;mirt;56;30
260;amit;77;41;2;mirt;79;38
261;amit;104;62;1;mirt;103;53
262;fluo;67;28;1;mirt;66;39
