id;t1;t2;r1;r2;n1;n2;rob
1;ARI;PLA;155;63;253;131;2
2;ARI;PLA;72;42;137;135;2
3;ARI;HAL;89;72;175;172;2
4;ARI;PLA;49;23;130;132;2
5;ARI;PLA;110;49;267;134;2
6;PLA;QUE;29;44;100;91;2
7;PLA;QUE;48;59;105;106;2
8;LITH;QUE;46;60;77;78;2
9;PLA;QUE;53;82;161;155;2
10;PLA;ZIP;23;65;70;140;1
11;PLA;ZIP;19;63;66;140;1
12;PLA;ZIP;48;50;103;102;2
13;PLA;ZIP;129;271;222;458;2
14;OLA;PLA;34;16;70;69;2
15;OLA;PLA;35;24;55;60;1
16;DIV;OLA;52;68;126;125;1
17;OLA;PLA;149;51;229;115;2
18;HAL;OLA;158;167;219;234;1
19;OLA;PLA;37;39;58;60;1
20;PLA;RIS;51;105;145;146;2
21;PLA;RIS;30;40;76;75;1
22;PLA;RIS;29;55;125;134;2
23;OLA;RIS;80;72;165;164;2
24;DIV;LITH;9;12;14;13;2
25;DIV;PLA;89;60;192;185;2
26;DIV;PLA;9;2;20;22;1
27;CARB;DIV;8;11;15;15;2
28;DIV;PLA;47;30;69;67;2
29;CARB;PLA;112;54;223;220;2
30;LAM;LITH;8;9;15;15;2
31;LITH;OLA;52;60;71;69;2
32;PLA;PAL;51;156;122;347;1
33;CARB;HAL;4;5;8;9;2
34;LITH;OLA;5;3;20;20;2
35;PLA;TOP;32;26;144;143;1
36;OLA;PLA;40;30;101;101;2
37;ARI;LITH;72;71;155;160;2
37;ARI;PLA;72;56;155;165;2
37;LITH;PLA;71;56;160;165;2
38;ARI;HAL;78;80;167;165;2
38;ARI;PLA;78;58;167;153;2
38;HAL;PLA;80;58;165;153;2
39;LITH;PLA;52;26;98;97;2
39;LITH;QUE;52;57;98;107;2
39;PLA;QUE;26;57;97;107;2
40;HAL;PLA;55;35;99;101;2
40;HAL;QUE;55;43;99;102;2
40;PLA;QUE;35;43;101;102;2
41;HAL;PLA;93;18;172;88;1
41;HAL;ZIP;93;65;172;178;1
41;PLA;ZIP;18;65;88;178;1
42;DIV;OLA;75;82;201;215;1
42;DIV;PLA;75;31;201;105;1
42;OLA;PLA;82;31;215;105;1
43;HAL;PLA;59;39;144;140;2
43;HAL;RIS;59;65;144;154;2
43;PLA;RIS;39;65;140;154;2
44;ASE;OLA;78;94;194;190;2
44;ASE;PLA;78;26;194;105;2
44;OLA;PLA;94;26;190;105;2
45;DIV;LITH;35;18;69;36;1
45;DIV;PLA;35;18;69;74;1
45;LITH;PLA;18;18;36;74;1
46;PLA;QUE;36;94;105;193;2
46;PLA;PAL;36;106;105;195;2
46;QUE;PAL;94;106;193;195;2
47;HAL;OLA;13;53;20;105;2
47;HAL;PLA;13;43;20;99;2
47;OLA;PLA;53;43;105;99;2
