"";"Ref ID";"Outcome Data?";"First Author";"Year";"Country";"Journal Name";"Title";"Number of Studies";"Number of Treatments";"Number of Nodes";"Control intervention";"Intervention comparison type";"Includes Complex Interventions";"Includes different treatment doses";"Did the model account for different treatment doses?";"Primary Outcome(s)";"Description of the outcome(s)";"Safety/
Effectiveness";"Harmful/
Beneficial Outcome";"Type of outcome";"Objective outcome?";"Effect measure";"Outcome measured as";"Indirect Method";"level
";"Number of 2-arm trials";"Number of 3-arm trials";"Number of 4-arm trials";"Number of 5-arm trials";"Number of 6+ -arm trials";"Shape of network";"Total loops";"Assessment of consistency assumption";"NMA includes both direct and indirect evidence";"Models used to adjust for inconsistency";"Assessment of Transitivity";"Fixed effect or Random effects model";"Rationale for FE or RE provided";"Assumption for heterogeneity in Random Effects model";"Heterogeneity estimator/prior";"Mantel Haenszel / Peto / Inverse Variance Method";"Analysis for heterogeneity
";"Was publication bias assessed?";"Method used to assess publication bias";"Ranking";"Reporting of effect sizes";"Use of individual patient data?";"Was missing participant data reported?";"How was missing data handled?";"Funding Source";"Funding Type";"I squared of heterogeneity";"I squared of inconsistency";"I  squared both";"Bayesian / Frequentist Approach";"format";"verified";"checked";"error";"label";"X__1";"X__2";"X__3";"X__4";"X__5";"X__6";"X__7";"X__8";"X__9";"X__10";"X__11";"X__12";"X__13"
"2";"473269";"YES";"Lin";2014;"Singapore";"Annals of Pharmacotherapy";"Comparative Efficacy and Tolerability of Topical Prostaglandin Analogues for Primary Open-Angle Glaucoma and Ocular Hypertension";14;"5";5;"timolol";"1 (pharmacological vs pharmacological)";"No";"No";"NA";"treatment success";"proportion of patients achieving at least 30% reduction in intraoccular pressure";"Effectiveness";"Beneficial";"Binary";"Objective";"risk ratio";"proportion of patients achieving a target of at least 30% IOP reduction";"Multivariate meta-analysis model";"Arm";"13";"1";"0";"0";"0";"Full Network";"Unclear";"Design by treatment";"Yes";"Yes";"NR";"Random effects";"No";"NR";"NR";"NR";"Unclear";"No";"NA";"NA";"Subset";"No";"No";"not reported";"None";"Non-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3";"473552";"YES";"Valentin";2011;"Hungary";"Orv Hetil";"Efficacy of the biological treatments based on ACR70 response in rheumatoid arthritis: indirect comparison and meta-regression using Bayes-model";32;"42";9;"placebo";"2 (pharmacological vs placebo)";"Yes";"Yes";"No - lump doses";"ACR70 improvement";"Efficacy of biologic therapies in rheumatoid arthritis";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"odds ratio";"proportion of patients achieving ACR70 response";"Bayesian Hierarchical Model";"Arm";"11";"14";"5";"2";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Random effects";"No";"common within-network";"NR";"NA";"Yes";"No";"NA";"NA";"All";"No";"No";"not reported";"TÁMOP-4.2.1.B-09/1 / KMR-2010-0005";"Funding source not reported";NA;NA;NA;NA;"long";0;1;"""Identical treatments for the following studies:\n  '7' - 'NA' - 'NA' - 'NA' - 'NA' - 'NA' - 'NA'";NA;NA;NA;NA;NA;NA;NA;NA;NA;"(some studies contain multiple arms with the same intervention)";NA;NA;NA;NA
"4";"474842";"YES";"Castellucci";2014;"Canada";"Journal of the American Medical Association";"Clinical and Safety Outcomes Associated With Treatment of Acute Venous Thromboembolism A Systematic Review and Meta-analysis";45;"8";8;"LMWH + vitamin K antagonist";"1 (pharmacological vs pharmacological)";"Yes";"Unclear";"NA";"recurrent venous thromboembolism";"Efficacy associated with 8 anticoagulation options for treatment of venous thromboembolism";"Effectiveness";"Harmful";"Binary";"Objective";"hazard ratio";"proportion of patients experiencing recurrent venous thromboembolism (over 3 and 6 months)";"Bayesian Hierarchical Model";"Arm";"41";"4";"0";"0";"0";"Full Network";"2";"Comparison of model fit and parsimony (DIC)";"Yes";"Yes";"NR";"Both FE and RE";"Assessment of model fit was based on comparison of residual deviance to the num- ber of unconstrained data points, assessment of the devi- ance information criterion, and between-study standard deviation";"Unclear";"vague priors";"NA";"Unclear";"No";"NA";"Probability of being the best";"All";"No";"No";"not reported";"CGV 121171, the Canadian Institutes of Health Research, Canadian Network and Centre for Trials Internationally (CANNeCTIN), grant, Heart and Stroke foundation
(116573) through the CIHR Drug Safety and
Effectiveness Network.";"Publicly-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";"476033";"YES";"Jansen";2009;"USA";"Current Medical Research and Opinion";"Prevention of vertebral fractures in osteoporosis: mixed treatment comparison of bisphosphonate therapies";7;"5";5;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"vertebral fractures (morphometric)";"Efficacy of bisphosphonates in postmenopausal osteoporotic women";"Effectiveness";"Harmful";"Binary";"Objective";"odds ratio";"proportion of patients with vertebral fractures";"Bayesian Hierarchical Model";"Arm";"7";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"The average age of women across trials was comparable";"Both FE and RE";"Assessment of residual deviance showed no appreciable difference between random and fixed effects assumptions, and a fixed effects model can be considered appropriate. Because residual deviance analyses are not commonly accepted, to be definitive we reported results under the conser- vative random effects assumptions as well";"common within-network";"non-informative priors";"NA";"Unclear";"No";"NA";"Probability of being the best";"All";"No";"No";"not reported";"Novartis Pharma AG";"Industry-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6";"476343";"YES";"Edwards";2015;"UK";"Health Technology Assessment";"Topotecan, pegylated liposomal doxorubicin hydrochloride, paclitaxel, trabectedin and gemcitabine for advanced recurrent or refractory ovarian cancer: a systematic review and economic evaluation
hydrochloride, paclitaxel, trabectedin and gemcitabine
for advanced recurrent or refractory ovarian cancer:
a systematic review and economic evaluation";6;"13";4;"PLDH+carboplatin";"1 (pharmacological vs pharmacological)";"Yes";"Yes";"No - lump doses";"overall survival";"Effectiveness of topotecan, pegylated liposomal doxorubicin hydrochloride, paclitaxel, trabectedin and gemcitabine for the treatment of advanced, recurrent ovarian cancer";"Effectiveness";"Beneficial";"Survival";"Objective";"hazard ratio";"# of deaths in pts with platinum sensitive ovarian cancer";"Bayesian Hierarchical Model";"Study";"10";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"sufficient comparable data accross studies";"Fixed-effect";"the sparse number of trials available necessitated the use of a fixed effects model fixed-effects model";"NA";"uninformed prior for the between trial heterogeneity";"NA";"NA";"No";"NA";"NA";"All";"No";"Yes";"missing completely at random (MCAR)";"National Institute for Health Research (NIHR)";"Publicly-sponsored";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"479531";"YES";"Patel";2014;"USA";"PLoS One";"48-Week Efficacy and Safety of Dolutegravir Relative to Commonly Used Third Agents in Treatment-Naive HIV-1– Infected Patients: A Systematic Review and Network Meta-Analysis";26;"33";12;"dolutegravir";"1 (pharmacological vs pharmacological)";"Yes";"No";"NA";"virologic supression";"Efficacy of Dolutegravir Relative to Commonly Used Third Agents";"Effectiveness";"Beneficial";"Binary";"Objective";"odds ratio";"HIV-RNA suppression <50 copies/mL";"Bayesian Hierarchical Model";"Arm";"23";"1";"2";"0";"0";"Full Network";"Unclear";"Informal comparison of NMA results with pairwise meta-analysis results";"Yes";"Yes";"Studies were found to be generally similar with respect to age and baseline clinical characteristics";"Both FE and RE";"Based on DIC and only one study for most comparisons. Limited data to estimate random-effects model parameters have been noted to lead to poor estimation of the width of the distribution of intervention effects";"Unclear";"NR";"NA";"Yes";"No";"NA";"NA";"Subset";"No";"Yes";"Studies with missing data excluded";"ViiV Healthcare";"Industry-sponsored";NA;NA;NA;NA;"long";0;1;"Network consists of 2 separate sub-networks.\n  Use R function 'netconnection' to identify sub-networks.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8";"479574";"YES";"Biondi-Zocca";2005;"Italy";"International Journal of Cardiology";"Adjusted indirect comparison of intracoronary drug-eluting stents: evidence from a metaanalysis of randomized bare-metal-stent-controlled trials";18;"7";7;"drug-eluting stents (DES)";"1 (pharmacological vs pharmacological)";"Yes";"No";"NA";"target lesion revascularization";"Intracoronary drug-eluting stents (DES) in comparison to bare-metal stents (BMS) in target lesion revascularization (TLR) after percutaneous
coronary intervention";"Effectiveness";"Beneficial";"Binary";"Objective";"odds ratio";"the rate of target lesion revascularization (TLR) at <=12 months";"Adjusted indirect comparison (Bucher)";"Arm";"17";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Random effects";"No";"NR";"NR";"Inverse Variance Method";"Unclear";"Yes";"Funnel plot; Egger's test";"NA";"Subset";"No";"No";"NA";"NR";"Funding source not reported";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"9";"479585";"YES";"Singh";2013;"USA";"Cochrane Database of Systematic Reviews";"Adverse effects of biologics: a network meta-analysis and Cochrane overview";49;"13";10;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"Yes - Subgroup analyses";"total adverse events";"To compare the potential adverse effects of tumor necrosis factor inhibitor (adalimumab, certolizumab, etanercept, golimumab, infliximab),
interleukin (IL)-1 antagonist (anakinra), IL-6 antagonist (tocilizumab), anti-CD28 (abatacept), and anti-B cell (rituximab)
therapy in patients with any disease condition except human immunodeficiency disease";"Safety";"Harmful";"Binary";"Semi-objective";"odds ratio";"number of total adverse events (= # events or # people with events?)";"Bayesian Hierarchical Model";"Arm";"49";"0";"0";"0";"0";"Tree Network";"Unclear";"Back-calculation; Node-splitting";"Yes";"Yes";"NR";"Both FE and RE";"model selection was based on the deviance information criterion (DIC) and residual deviance";"Unclear";"Basic parameters were assigned non- informative or vague prior distributions; more informative pri- ors were considered after evaluation of the information base and clinical expert advice";"NR";"Yes";"No";"NA";"NA";"All";"No";"Yes";"NR";"Canadian Institutes of Health Research; National Institutes of Health Research, Cochrane Review Incentive Scheme 2009, UK.";"Publicly-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"11";"479600";"YES";"Donahue";2012;"USA";"Agency for Healthcare Research and Quality";"Drug Therapy for Rheumatoid Arthritis in Adults: An Update";30;"9";9;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - Other (recommended dosing ranges/ doses that that could be considered equivalent to the recommended doses, but were not identical to recommended doses are included in the report)";"response to treatment (defined as achieving ACR50 response)";"comparative efficacy of biologic disease modifying
antirheumatic drugs (DMARDs) in improving RA symptoms";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"odds ratio";"proportion of patients with ACR50 response";"Bayesian Hierarchical Model";"Arm";"29";"1";"0";"0";"0";"Full Network";"1";"Informal comparison of NMA results with previously published results";"Yes";"Yes";"NR";"Random effects";"No";"NR";"uniform prior distribution centered at zero with sufficiently large variance";"NA";"Yes";"Yes";"Funnel plot";"Probability of being the best";"All";"No";"No";"NA";"Agency for Healthcare Research and Quality";"Publicly-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"12";"479603";"YES";"Shamliyan";2013;"USA";"Agency for Healthcare Research and Quality";"Migraine in Adults: Preventive Pharmacologic Treatments
Preventive
Pharmacologic
Treatments";83;"45";14;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"Reduction of migraine attacks by >50 percent from baseline";"Effectiveness of preventive pharmacologic treatments for community-dwelling adults with episodic or chronic migraine";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"odds ratio";"≥50 percent reduction in monthly migraine frequency";"Bayesian Hierarchical Model; Bucher method";"Arm";"77";"6";"0";"0";"0";"Full Network";"Unclear";"Inconsistency model";"Yes";"Yes";"Patient age and baseline migraine
characteristics were similar in most trials";"Both FE and RE";"We used multiple models to test robustness of inferential statistics. Models included random and fixed effects inverse variance methods, maximum
likelihood methods, Peto odds ratio,57 double arcsine transformation for comparing two
proportions, and odds ratios from random-effects generalized nonlinear mixed-effect models";"common within-network";"non-informative prior";"NA";"Yes";"Yes";"We assess publication bias by analyses of the publication rates of the registered studies and the NIH funded studies";"NA";"Subset";"No";"No";"NA";"Agency for Healthcare Research and Quality";"Publicly-sponsored";NA;NA;NA;NA;"long";0;1;"After removing comparisons with missing treatment effects or standard errors,\n  study '16' has a wrong number of comparisons. Please check data and\n  consider to remove study from network meta-analysis.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
